user_id,event_name,timestamp
0,signed_up,2023-05-09 21:09:48.000000
0,unsubscribed,2023-06-26 21:25:21.480097
1,signed_up,2023-02-04 22:23:41.000000
1,viewed_dashboard,2023-02-06 14:54:09.675814
1,created_project,2023-02-06 18:07:38.447923
1,invited_teammate,2023-02-08 11:05:32.679939
1,upgraded_plan,2023-02-10 04:34:42.645767
2,signed_up,2023-02-03 04:48:54.000000
2,viewed_dashboard,2023-02-04 02:34:17.289779
2,created_project,2023-02-04 21:10:42.822719
3,signed_up,2024-03-20 06:39:25.000000
3,viewed_dashboard,2024-03-21 01:48:56.706634
3,created_project,2024-03-21 18:34:57.054986
3,invited_teammate,2024-03-22 17:30:47.907474
3,upgraded_plan,2024-03-23 13:00:01.621819
4,signed_up,2024-09-08 21:46:30.000000
5,signed_up,2023-09-09 10:30:17.000000
5,viewed_dashboard,2023-09-10 05:13:53.769328
5,created_project,2023-09-11 22:21:06.824855
5,unsubscribed,2023-10-26 06:12:38.956096
6,signed_up,2024-04-29 10:08:53.000000
6,viewed_dashboard,2024-04-30 19:01:24.242384
6,created_project,2024-05-01 06:31:09.966804
6,invited_teammate,2024-05-02 13:51:36.076735
6,upgraded_plan,2024-05-03 21:32:43.812425
7,signed_up,2023-02-21 01:52:59.000000
7,viewed_dashboard,2023-02-22 21:51:09.173131
7,created_project,2023-02-24 01:18:26.443640
7,invited_teammate,2023-02-25 05:42:09.566231
7,upgraded_plan,2023-02-25 17:23:14.672818
7,unsubscribed,2023-07-26 04:13:43.192428
8,signed_up,2024-01-23 16:55:55.000000
8,viewed_dashboard,2024-01-25 05:47:11.047268
8,created_project,2024-01-25 17:22:11.898239
8,invited_teammate,2024-01-26 23:09:43.722641
8,upgraded_plan,2024-01-27 10:35:57.303496
9,signed_up,2023-10-16 14:57:18.000000
9,viewed_dashboard,2023-10-18 12:42:29.965030
9,created_project,2023-10-19 15:33:32.851125
10,signed_up,2024-06-20 20:25:11.000000
10,unsubscribed,2024-12-17 15:55:26.639902
11,signed_up,2023-04-01 23:06:42.000000
11,viewed_dashboard,2023-04-03 10:11:21.198334
11,created_project,2023-04-05 04:55:21.133720
12,signed_up,2024-03-29 07:46:06.000000
12,viewed_dashboard,2024-03-29 16:32:32.748201
12,created_project,2024-03-30 21:30:04.432292
12,invited_teammate,2024-04-01 06:09:04.511537
12,upgraded_plan,2024-04-03 03:43:30.086751
13,signed_up,2024-03-02 12:23:37.000000
13,viewed_dashboard,2024-03-04 10:43:10.113424
13,created_project,2024-03-06 09:29:17.408915
